test_case,expected_content,language
1,"Swisscows - MedienerziehungUnsere Leidenschaft ist es, Menschen vor Überwachung zu schützen.Als Swisscows-Team haben wir es uns zur Aufgabe gemacht, einen geschützten Raum für Internet-Nutzer bereitzustellen. Wir haben uns vorgenommen, in allen Bereichen sichere Alternativen zu kreieren!Swisscows ist eine anonyme und familienfreundliche Suchmaschine ohne Tracking. Swisscows möchte Nutzer nicht nur vor Überwachung, sondern auch vor pornografischen Inhalten schützen. Wir möchten, dass auch Kinder und Jugendliche die Suchmaschine gefahrlos nutzen können. Gewalt oder gar pornografische Inhalte werden hier bereits im Vorfeld geblockt. Die Kinder kommen also nicht in Versuchung, sich auf auffälligen Seiten zu bewegen. Weiterhin kann durch die richtige Medienerziehung auf diese Umstände hingewiesen werden.Wir legen grossen Wert auf familienfreundliche Internetinhalte!Familie ist die wichtigste Zelle unserer Gesellschaft! Verschwinden Moral und Anstand, dann verschwinden auch Respekt und Nächstenliebe. Die digitalen Medien sind unverzichtbar und stellen dennoch für die noch nicht geformten Wahrnehmungen von Kindern und Jugendlichen eine Gefährdung und Herausforderung dar. Selbst Eltern und Schulen sind darauf nicht vorbereitet.Unsere Kinder wachsen in einer digitalen Umwelt auf, die zum einen viele Vorteile, zum anderen aber auch viele Gefahren mit sich bringt. Es ist die Verantwortung der Eltern und der erziehungsberechtigten Personen, sich mit diesem Thema intensiv zu beschäftigen. Der digitale Wandel ist nicht nur rasch angekommen, sondern treibt mit schneller Geschwindigkeit immer weiter voran (laden Sie unsere kostenlose Broschüre„Digitale Medienerziehung“ herunter).Durch massive Digitalisierung sind Kinder zu den grössten Internetkonsumenten geworden.83% Aller Jungen spielen Computerspiele jeden Tag und das durchschnittlich 124 Minuten in der Woche und am Wochenende sogar 163 Minuten42% Aller Mädchen spielen Computer jeden Tag6,5 Jahren Erhalten Kinder ihr eigenes Handy in Deutschland10,3 Jahren Erhalten Kinder ihr eigenes Handy in Europa9 Jahren Beobachtet man in USA die ersten Porno süchtigen KinderWir fördern moralische WerteWir sind gegen Gewalt und PornographieWir fördern digitale MedienerziehungEin sicheres Netz für unsere Kinder – wie Kinder den Umgang mit digitalen Medien erlernen könnenLaden Sie unsere Broschüre herunter oder bestellen Sie kostenlose Broschüren zum Verteilen kostenfrei direkt bei uns: info@swisscows.com.Wichtig!Kinder sollten das Internet nicht allein entdecken. Nehmen Sie sich Zeit und entdecken Sie das Internet gemeinsam.Flyer öffnen [PDF, 1.5Mb]",Deutsch
2,"Éducation aux médias — SwisscowsNotre passion : protéger les personnes contre toute surveillance.Chez Swisscows, nous nous sommes donné pour mission d’offrir un espace protégé aux utilisateurs d’Internet. Nous avons la ferme intention de créer des solutions alternatives sûres, et ce, dans tous les domaines !Swisscows est un moteur de recherche sans tracking, anonyme et pensé pour toute la famille. Swisscows souhaite non seulement protéger ses utilisateurs contre toute surveillance, mais également contre une exposition aux contenus pornographiques. Nous souhaitons que les enfants et adolescents puissent eux aussi utiliser notre moteur de recherche sans aucun risque. La violence mais aussi les contenus pornographiques sont déjà bloqués au préalable. Les enfants ne pourront pas non plus tomber sur des pages au contenu ostentatoire lors de leur recherche. En outre, une éducation aux médias appropriée peut permettre de les informer de ces dangers.Nous accordons beaucoup de valeur aux contenus web pensés pour toute la famille !La famille est la cellule la plus importante de notre société ! Lorsque la morale et la bienséance sont laissées pour compte, le respect et l’altruisme se perdent eux aussi. Les médias numériques sont incontournables et présentent par conséquent une menace et un défi en ce qui concerne la pensée critique pas encore aiguisée des enfants et des adolescents. Même les parents et les établissements scolaires ne sont pas préparés à cela.Nos enfants grandissent entourés du numérique, ce qui présente de nombreux avantages, mais est également d’un autre côté la source de nombreux dangers. Il en va de la responsabilité des parents et des personnes responsables de l’éducation de se consacrer pleinement à ce sujet. Le virage numérique ne s’est pas contenté d’arriver brutalement, il n’a également de cesse de progresser à un rythme effréné (téléchargez notre brochure gratuite« L’éducation aux médias numériques »).Par le biais d’une numérisation massive, les enfants sont devenus les plus grands utilisateurs d’Internet.83% des jeunes jouent quotidiennement aux jeux vidéo, et ce, en moyenne 124 minutes la semaine, et même 163 minutes le week-end42% des jeunes filles jouent quotidiennement sur ordinateur6,5 ans Les enfants ont leur propre téléphone portable en Allemagne10,3 ans Les enfants ont leur propre téléphone portable en Europe9 ans, on observe les premiers enfants accros au porno aux USA.Nous défendons des valeurs moralesNous nous positionnons contre la violence et la pornographieNous soutenons l’éducation aux médias numériquesUn Internet plus sûr pour nos enfants : comment apprendre aux enfants à utiliser les médias numériquesTéléchargez notre brochure ou commandez gratuitement des brochures à mettre librement à disposition directement auprès de notre équipe à l’adresse suivante:info@swisscows.com.Important ! Les enfants ne devraient pas découvrir Internet tout seuls. Prenez le temps de les accompagner dans leur découverte d’InternetOuvrir le flyer [PDF, 1.49Mb]",Français
3,"Swisscows: educazione mediaticaLa nostra passione è quella di proteggere le persone dal monitoraggio.In quanto membri del team di Swisscows, ci siamo presi l’incarico di mettere a disposizione degli utenti di internet uno spazio protetto. Abbiamo in programma di creare alternative sicure in ogni ambito!Swisscows è un motore di ricerca, anonimo e a favore delle famiglie, senza tracking. Swisscows vuole proteggere gli utenti non solo dallo spionaggio, ma anche dai contenuti pornografici. Vogliamo che anche i bambini e i giovani possano usare il motore di ricerca senza pericoli di sorta. Contenuti violenti o pornografici vengono qui bloccati già in anticipo. I bambini non sono pertanto tentati a muoversi su siti strani. Inoltre, mediante la corretta educazione ai media si può richiamare l’attenzione su queste circostanze.Attribuiamo grande importanza ai contenuti Internet adatti alle famiglie!La famiglia è la cellula più importante della nostra società! Se scompaiano la morale e la decenza, scompaiono anche il rispetto e l’amore per il prossimo. I media digitali sono irrinunciabili, tuttavia, per le per le coscienze non ancora formate di bambini e giovani rappresentano un pericolo e una sfida. Anche i genitori e le scuole non sono preparati a ciò.I nostri bambini crescono in un ambiente digitale che porta con sé da una parte molti vantaggi ma, dall’altra, molti pericoli. È responsabilità dei genitori e dei tutori legali confrontarsi intensivamente con questo tema. Il cambiamento digitale non solo è arrivato rapidamente, ma sta avanzando ad alta velocità (scarica la nostra brochure gratuita“Educazione mediatica digitale”).A causa della massiccia digitalizzazione, i bambini sono diventati i maggiori consumatori di internet.83% dei giovani gioca al computer ogni giorno e lo fa con una media di 124 minuti alla settimana e ben 163 minuti nel fine settimana42% delle ragazze gioca al computer ogni giorno6,5 anni  I bambini ricevono il proprio telefono cellulare in Germania10,3 anni  I bambini ricevono il proprio telefono cellulare in Europa9 anni  Si osservano negli USA i primi bambini porno-dipendentiPromuoviamo valori moraliSiamo contro la violenza e la pornografiaPromuoviamo l’educazione mediatica digitaleUna rete sicura per i nostri figli: come i bambini possono imparare ad utilizzare i media digitaliScarica la nostra brochure o ordina in maniera gratuita le brochure gratuite da distribuire direttamente sul nostro sito: info@swisscows.com.Importante! I bambini non dovrebbero scoprire Internet da soli. Prendetevi del tempo e scoprite Internet insieme.Apri Flyer [PDF, 1.49Mb]",Italiano
4,"Swisscows - Educación mediáticaNuestra pasión es proteger a las personas frente a la vigilancia.Como equipo de Swisscows, nos hemos propuesto ofrecer un espacio protegido a los usuarios de Internet. ¡Nos hemos propuesto crear alternativas seguras en todos los ámbitos!Swisscows es un motor de búsqueda sin rastreo, anónimo y apto para familias. Swisscows no solo pretende proteger a los usuarios frente a posibles vigilancias, sino también frente al contenido pornográfico. Queremos que tanto niños/as como adolescentes pueden utilizar nuestro motor de búsqueda sin riesgos. Aquí tenemos bloqueado tanto la violencia o como cualquier contenido pornográfico de antemano. De esta forma, los/as niños/as no tienen la tentación de navegar por este tipo de páginas llamativas. Además, estas circunstancias pueden ser señaladas a través de una adecuada educación mediática.¡Damos gran importancia a que el contenido online sea apto para familias!¡Las familias constituyen la parte más importante de nuestra sociedad! Si desaparecen la moral y la decencia, también desaparecen el respeto y la caridad. Los medios digitales son indispensables y, sin embargo, representan una amenaza y todo un desafío para las percepciones aún no formadas de niños/as y jóvenes. Ni siquiera los padres y las escuelas están preparados para ello.Nuestros/as niños/as están creciendo en un entorno digital, que ofrece muchas ventajas, pero por otro lado también implica muchos riesgos. Es responsabilidad de los padres y tutores legales tratar este tema en profundidad. El cambio digital no solo ha llegado rápidamente, sino que también avanza a un ritmo vertiginoso (descargue aquí nuestro folleto gratuito«Eduación mediática digital»).Debido a la digitalización masiva, los/as niños/as se han convertido en los mayores consumidores de contenido online.83% de los niños utilizan juegos de ordenador diariamente durante un promedio de 124 minutos a la semana e incluso 163 minutos los fines de semana42% de las niñas juegan diariamente con el ordenador6,5 años  ¿Tienen los niños su propio teléfono móvil en Alemania?10,3 años  ¿Tienen los niños sus propios teléfonos móviles en Europa?9 años  Si uno observa los primeros niños adictos al porno en USAFomentamos valores moralesEstamos en contra de la violencia y la pornografíaFomentamos la educación mediática digitalUna red segura para nuestros hijose hijas: cómo los/as niños/as pueden aprender a usar los medios digitalesDescargue nuestro folleto o solicite folletos gratuitos directamente para distribuirlos de forma gratuita directamente en: info@swisscows.com.¡Importante!Los/as niños/as no deben descubrir Internet por sí mismos. Tómese el tiempo necesario y descubran Internet juntos.Abrir folleto [PDF, 1.49Mb]",Español
5,"Swisscows - media-educatieHet is onze passie mensen tegen controle te beschermen.Als team van Swisscows zien wij het als onze opdracht een beveiligde omgeving voor internetgebruikers beschikbaar te stellen. Wij zijn van plan om in alle omgevingen voor veilige alternatieven te zorgen!Swisscows is een anonieme en gezinsvriendelijke zoekmachine zonder tracking. Swisscows wil gebruikers niet alleen tegen controle, maar ook tegen pornografische inhoud beschermen. Wij willen dat ook kinderen en jongeren de zoekmachine zonder gevaar kunnen gebruiken. Geweld of zelfs pornografische inhoud wordt hierbij reeds van tevoren geblokkeerd. Kinderen komen dus niet in de verleiding opvallende websites te bezoeken. Daarnaast kan door de juiste media-educatie op deze zaken worden gewezen.Wij hechten veel waarde aan gezinsvriendelijke inhoud op internet!Het gezin is de belangrijkste pijler van onze maatschappij! Als moraal en fatsoen verdwijnen, verdwijnen ook respect en naastenliefde. Digitale media zijn onmisbaar en vormen desondanks een risico en uitdaging voor de nog niet gevormde waarnemingen van kinderen en jongeren. Zelfs ouders en scholen zijn hier niet op voorbereid.Onze kinderen groeien op in een digitale omgeving, die aan de ene kant veel voordelen, maar aan de andere kant ook veel risico's in zich heeft. Het is de verantwoordelijkheid van ouders en opvoeders zich intensief met dit onderwerp bezig te houden. De digitale verandering is niet alleen snel ontstaan, maar neemt ook een steeds snellere vlucht (download onze gratis brochure\"Digitale Medienerziehung\").Als gevolg van de massieve digitalisering zijn kinderen de grootste internetgebruikers geworden.83% van alle jongens speelt elke dag computerspelletjes en dat gemiddeld 124 per week en zelfs 163 minuten in het weekend42% van alle meisjes zit elke dag achter de computer6,5 jaar krijgen kinderen in Duitsland hun eerste mobiele telefoon10,3 jaar krijgen kinderen in Europa hun eerste mobiele telefoon9 jaar worden in de VS de eerste pornoverslaafde kinderen waargenomenWij bevorderen morele waardenWij zijn tegen geweld en pornografieWij bevorderen digitale media-educatieEen veilig netwerk voor onze kinderen – hoe kinderen de omgang met digitale media kunnen lerenDownload onze brochure of bestel gratis brochures om uit te delen direct bij ons:info@swisscows.com.Belangrijk! Kinderen mogen het internet niet alleen ontdekken. Neem de tijd en ontdek het internet met elkaar.Flyer openen [PDF, 1.42Mb]",Nederlands
6,"Swisscows – media educationOur passion is to protect people from surveillance.As the Swisscows team, we have made it our mission to provide a safe space for Internet users. We have set out to create safe alternatives in all areas!Swisscows is an anonymous and family-friendly search engine without tracking. Swisscows wants to protect users not only from surveillance, but also from pornographic content. We want children and teenagers to be able to use the search engine safely as well. Violent or even pornographic content is already blocked here in advance. Children are therefore not tempted to access conspicuous pages. Further, proper media education can point out these circumstances.We attach great importance to family-friendly Internet content!Family is the most important cell of our society! If morality and decency disappear, then respect and charity also disappear. Digital media are indispensable and yet pose a threat and challenge to the not-yet-formed perceptions of children and young people. Even parents and schools are not prepared for this.Our children are growing up in a digital environment that brings many advantages on the one hand, but also many dangers on the other. It is the responsibility of parents and guardians to deal with this topic intensively. The digital transformation has not only arrived quickly but continues to drive forward at a rapid pace (download our free brochure“Digital media education”).Massive digitization has made children the biggest consumers of the Internet.83% of boys play computer games every day, averaging 124 minutes a week and 163 minutes on weekends.42% of all girls play computer games every day.6,5 years children receive their own mobile phone in Germany.10,3 years children receive their own mobile phone in Europe.9 years kids in U.S. have seen pornography.We promote moral valuesWe are against violence and pornographyWe promote digital media educationA safe Internet for our children - how children can learn to use digital mediaDownload our brochure or order free brochures to distribute directly from us at no charge:info@swisscows.com.Important! Children should not discover the Internet alone. Take your time and discover the Internet together.Open flyer [PDF, 1.49Mb]",Português
7,"Swisscows – MédiaoktatásSzenvedélyünk, hogy megvédjük az embereket a megfigyeléstől.A Swisscows csapataként küldetésünknek tekintjük, hogy védett teret biztosítsunk az internetezők számára. Minden területen biztonságos alternatívák megteremtését tűztük ki célul!A Swisscows egy anonim és családbarát keresőmotor nyomkövetés nélkül. A Swisscows nemcsak a megfigyeléstől, hanem a pornográf tartalmaktól is meg akarja védeni a felhasználókat. Szeretnénk, ha a gyermekek és a fiatalok biztonságosan használhatnák a keresőmotort. Az erőszakos vagy akár pornográf tartalmak itt már előre blokkolva vannak. Így a gyerekek nem csábulnak arra, hogy figyelemfelkeltő helyeket keressenek fel. A megfelelő médiaoktatás rámutat ezekre a veszélyekre.Nagy hangsúlyt fektetünk a családbarát internetes tartalmakra!A család a társadalmunk legfontosabb eleme! Ha eltűnik az erkölcs és a tisztesség, akkor eltűnik a tisztelet és a szeretet is. A digitális média nélkülözhetetlen, ugyanakkor veszélyt és kihívást jelent a gyermekek és a fiatalok még nem kialakult ítélőképességére nézve. Erre még a szülők és az iskolák sincsenek felkészülve.Gyermekeink egy olyan digitális környezetben nőnek fel, amely egyrészt számos előnnyel jár, másrészt azonban számos veszélyt is rejt magában. A szülők és a gondviselők felelőssége, hogy intenzíven foglalkozzanak ezzel a kérdéssel. A digitális átalakulás nemcsak gyorsan érkezett, de gyors ütemben is halad tovább (töltse le ingyenes„Digitális médiaoktatás” című kiadványunkat).A tömeges digitalizációnak köszönhetően a gyermekek váltak az internet legnagyobb fogyasztóivá.83% A fiúk átlagosan heti 124 percet játszanak számítógépes játékokkal, hétvégén pedig 163 percet42% A lányok minden nap számítógépeznek6,5 év  A gyerekek saját mobiltelefont kapnak Németországban10,3 év  A gyerekek saját mobiltelefont kapnak Európában9 évesen  figyelik meg az első pornófüggő gyerekeket az Egyesült ÁllamokbanTámogatjuk az erkölcsi értékeketEllenezzük az erőszakot és a pornográfiátTámogatjuk a digitális médiaoktatástEgy biztonságos háló a gyermekeink számára – ahol megtanulhatják a gyerekek a digitális média használatátTöltse le brosúránkat, vagy rendeljen ingyenes brosúrákat, amelyeket közvetlenül tőlünk terjeszthet:info@swisscows.com.Fontos! A gyermekeknek nem szabad egyedül felfedezniük az internetet. Szánjon rá időt, és fedezzék fel együtt.Szórólap megnyitása [PDF, 1.49Mb]",Magyar
8,"“Swisscows” – medijpratībaMūsu misija ir pasargāt cilvēkus no novērošanas.Mēs, “Swisscows” komanda, esam noteikuši sev uzdevumu sniegt interneta lietotājiem drošu patvērumu. Mēs esam uzņēmušies radīt drošas alternatīvas visās jomās!“Swisscows” ir anonīma un ģimenēm draudzīga meklētājprogramma bez izsekošanas. “Swisscows” vēlas pasargāt lietotājus ne tikai no novērošanas, bet arī no pornogrāfiska satura rādīšanas. Mēs vēlamies, lai meklētājprogrammu bez riskiem varētu izmantot arī bērni un jaunieši. Vardarbība un pilnīgi pornogrāfisks saturs šeit tiek bloķēts jau priekšlaikus. Tādēļ bērniem nerodas kārdinājums apmeklēt uzmanību piesaistošas vietnes. Turklāt bērnus var izglītot par šiem aspektiem, mācot viņiem pareizu medijpratību.Mēs augstu vērtējam ģimenēm draudzīgu interneta saturu!Ģimene ir mūsu sabiedrības svarīgākā šūna! Ja zaudējam morāli un pieklājību, tad pazaudējam arī cieņu un mīlestību pret tuvākajiem. Digitālie plašsaziņas līdzekļi ir neaizstājami, tomēr tie rada draudus un izaicinājumus bērnu un jauniešu vēl neizveidotajiem priekšstatiem. Pat vecāki un skolas tam nav sagatavoti.Mūsu bērni uzaug digitālā vidē, kas, no vienas puses, sniedz daudz priekšrocību, bet, no otras puses, rada arī dažādus riskus. Tā ir vecāku un citu personu, kas audzina bērnus, atbildība – intensīvi strādāt ar šo tēmu. Pārmaiņas digitālajā vidē ne tikai radās ļoti pēkšņi, bet arī pastāvīgi attīstās ļoti lielā ātrumā (lejupielādējiet mūsu bezmaksas bukletu“Digitālā medijpratība”).Straujās digitalizācijas rezultātā bērni ir kļuvuši par lielākajiem interneta patērētājiem.83% zēnu spēlē datorspēles katru dienu, un vidēji to dara 124 minūtes darba dienās, savukārt nedēļas nogalēs – pat 163 minūtes42% meiteņu spēlē datorspēles katru dienu6,5 gadu  vecumā bērni Vācijā saņem savu personīgo mobilo tālruni10,3 gadu  vecumā bērni Eiropā saņem savu personīgo mobilo tālruni9 gadu  vecuma, bērniem ASV tiek konstatēta atkarība no pornogrāfijasMēs attīstām morālās vērtībasMēs esam pret vardarbību un pornogrāfijuMēs veicinām digitālo medijpratībuBērniem droša tīmekļa vide – kā bērni var iemācīties pareizi izmantot digitālos plašsaziņas līdzekļusLejupielādējiet mūsu bukletu vai pasūtiet bezmaksas bukletus, lai dalītos ar citiem:info@swisscows.com.Svarīgi! Bērniem nevajadzētu atklāt internetu vieniem. Veltiet tam laiku un atklājiet internetu kopā.Atvērt skrejlapu [PDF, 1.38Mb]",Latviešu
9,"Swisscows – медиаобразованиеНаше стремление — защищать людей от слежки.Наша команда Swisscows поставила перед собой задачу обеспечить безопасное пространство для пользователей интернета. Наша цель - создать безопасные альтернативы во всех областях!Swisscows — это анонимная и удобная для всей семьи поисковая система без отслеживания. Swisscows хочет защитить пользователей не только от слежки, но и от порнографического контента. Мы хотим, чтобы дети и подростки также могли безопасно пользоваться поисковой системой. Жестокий или даже порнографический контент здесь уже заранее заблокирован. Таким образом, у детей не возникает соблазна зайти на страницы, которые бросаются в глаза. Кроме того, правильное медиаобразование поможет обратить внимание на эти обстоятельства.Мы ориентированы на интернет-контент для всей семьи!Семья - самая важная ячейка нашего общества! Если мораль и порядочность исчезнут, тогда исчезнут и добрососедство, и любовь. Цифровые средства массовой информации являются незаменимыми и в то же время представляют угрозу и вызов для еще несформировавшегося сознания детей и подростков. Даже родители и школы не готовы к этому.Наши дети растут в цифровой среде, которая имеет много преимуществ, но и множество опасностей. Родители и опекуны обязаны активно заниматься этим вопросом. Цифровая трансформация не только быстро произошла, но и прогрессирует с каждым днем (загрузите нашу бесплатную брошюру«Цифровое медиаобразование»).Развитие цифровых технологий привело к тому, что дети стали самыми крупными потребителями Интернета.83% мальчиков играют в компьютерные игры каждый день, в среднем 124 минуты в неделю и 163 минуты в выходные дни42% девочек играют в компьютерные игры каждый день6,5 years дети получают собственный мобильный телефон в Германии10,3 years дети получают собственный мобильный телефон в Европе9 years средний возраст первых просмотров порнографии в СШАМы пропагандируем моральные ценности.Мы ненавидим насилие и порнографию.Мы продвигаем цифровое медиаобразование.Безопасный Интернет для наших детей – как детям научиться пользоваться цифровыми медиаЗагрузите нашу брошюру или закажите бесплатные брошюры для распространения непосредственно у нас:info@swisscows.com.Важно! Помните, что ребенок не должен открывать Интернет самостоятельно, но найдите время, чтобы открыть Интернет вместе.Открытая брошюра [PDF, 1.42Mb]",Русский
10,"Swisscows – медіаосвітаНаше прагнення — захищати людей від стеження.Наша команда Swisscows поставила собі завдання забезпечити безпечний простір для користувачів інтернету. Наша мета - створити безпечні альтернативи в усіх галузях!Swisscows – це анонімна та зручна для всієї родини пошукова система без відстеження. Swisscows хоче захистити користувачів не лише від стеження, а й від порнографічного контенту. Ми хочемо, щоб діти та підлітки також могли безпечно користуватися пошуковою системою. Жорстокий чи навіть порнографічний контент тут заздалегідь заблокований. Таким чином, у дітей не виникає спокуси зайти на сторінки, які впадають у вічі. Крім того, правильна медіаосвіта допоможе звернути увагу на ці обставини.Ми орієнтовані на інтернет-контент для всієї родини!Сім'я - найважливіша клітина нашого суспільства! Якщо зникне мораль і порядність, то зникнуть і добросусідство, і любов. Цифрові засоби масової інформації є незамінними і все ж становлять загрозу і виклик для ще несформованої свідомості дітей і підлітків. Навіть батьки та школи не готові до цього.Наші діти ростуть у цифровому середовищі, що має багато переваг, але і безліч небезпек. Батьки та опікуни зобов'язані активно займатися цим питанням. Цифрова трансформація не тільки швидко прийшла, але й прогресує з кожним днем (завантажте нашу безкоштовну брошуру«Цифрова медіаосвіта»).Розвиток цифрових технологій призвів до того, що діти стали найбільшими споживачами Інтернету.83% хлопчиків грають у комп'ютерні ігри кожен день, в середньому 124 хвилини на тиждень і 163 хвилини у вихідні дні42% дівчаток грають в комп'ютерні ігри кожен день6,5 years діти отримують власний мобільний телефон у Німеччині10,3 years діти отримують власний мобільний телефон у Європі9 years середній вік перших переглядів порнографії у СШАМи пропагуємо моральні цінності.Ми ненавидимо насильство і порнографію.Ми просуваємо цифрову медіаосвіту.Безпечний Інтернет для наших дітей – як дітям навчитися користуватися цифровими медіаЗавантажте нашу брошуру або замовте безкоштовні брошури для розповсюдження безпосередньо у нас:info@swisscows.com.Важливо! Пам'ятайте, що дитина не повинна відкривати Інтернет самостійно, але знайдіть час, щоб відкрити Інтернет разом.Відкрита брошура [PDF, 1.49Mb]",Українська
