test_case,expected_title,language,languageCode
1,"Soziale Projekte – Wir unterstützen soziale Projekte",Deutsch,de
2,"Projets sociaux – Nous soutenons des projets sociaux",Français,fr
3,"Progetti sociali – Sosteniamo progetti sociali",Italiano,it
4,"Proyectos sociales – Apoyamos proyectos sociales",Español,es
5,"Social projects - We support social projects",Português,pt
7,"Társadalmi projektek – Szociális projekteket támogatunk",Magyar,hu
8,"Sociālie projekti – Mēs atbalstām sociālos projektus",Latviešu,lv
9,"Sociale projecten – Wij ondersteunen sociale projecten",Nederlands,nl
9,"Благотворительные проекты - Мы поддерживаем социальные проекты",Русский,ru
10,"Соціальні проєкти - Ми підтримуємо благодійні проєкти",Українська,uk
