test_case,expected_content,language
1,"Swisscows bei Google Chrome installierenBleiben Sie bei uns und stellen Sie Swisscows als Ihre Standard-Suchmaschine ein. Die anonyme Suchmaschine  Kein Tracking Anonym Familienfreundlich
",Deutsch
2,"Installer Swisscows sur Google ChromeRestez avec nous et définissez Swisscows comme moteur de recherche par défaut.Le moteur de recherche anonyme Aucun suivi Anonyme Familial
",Français
3,"Installa Swisscows su Google ChromeResta con noi e imposta Swisscows come motore di ricerca predefinito.Motore di ricerca anonimo Niente tracciamento Anonimo Adatto alle famiglie
",Italiano
4,"Instalar Swisscows en Google ChromeQuédese con nosotros y configure Swisscows como su motor de búsqueda predeterminado.Motor de búsqueda anónimo Sin rastreo Anónimo Para toda la familia
",Español
5,"Installeer Swisscows in Google ChromeBlijf bij ons en stel Swisscows in als uw standaardzoekmachine.Anonieme zoekmachine Geen tracking Anoniem Familie vriendelijk
",Nederlands
6,"Instalar Swisscows  no Google ChromeFique connosco e defina a Swisscows como o seu motor de busca padrão. O motor de busca anónimo Sem rastreador Anónimo Amigo da família
",Português
7,"Swisscows telepítése Google Chrome böngészőbenMaradjon velünk, és állítsa be a Swisscows-t alapértelmezett keresőmotorként.Anonim keresőmotor Tracking nélkül Anonim módon Családbarát
",Magyar
8,"Uzstādīt Swisscows pārlūkprogrammai Google ChromePalieciet kopā ar mums un iestatiet Swisscows kā savu noklusējuma meklētājprogrammu.Anonīma meklētājprogramma Bez izsekošanas Anonīmi Draudzīgi ģimenei
",Latviešu
9,"Установите Swisscows в Google ChromeОставайтесь с нами и установите Swisscows в качестве поисковой системы по умолчанию.Анонимная поисковая система Без отслеживания Анонимно Для всей семьи
",Русский
10,"Додайте Swisscows до Google ChromeЗалишайтеся з нами та встановіть Swisscows як пошукову систему за замовчуванням.Анонімна пошукова система Без відстеження Анонімно Для всієї родини
",Українська
