test_case,expected_title,language,languageCode
1,"Datacenter – Alles über das Rechenzentrum von Swisscows",Deutsch,de
2,"Centre de données – Tout sur le centre de données Swisscows",Français,fr
3,"Data center – Tutto sul data center di Swisscows",Italiano,it
4,"Centro de datos: todo sobre el centro de datos de Swisscows",Español,es
5,"Data center – Tudo sobre data center Swisscows",Português,pt
6,"Adatközpont – Minden a Swisscows adatközponttal kapcsolatban",Magyar,hu
7,"Datu centrs — viss par Swisscows datu centru",Latviešu,lv
8,"Datacenter – Alles over het datacenter van Swisscows",Nederlands,nl
9,"Поисковая система с самым безопасным дата-центром",Русский,ru
10,"Пошукова система з найбезпечнішим дата-центром",Українська,uk
