test_case,expected_title,language,languageCode
1,"Deine private und anonyme Suchmaschine Swisscows",Deutsch,de
2,"Votre moteur de recherche privé et anonyme Swisscows",Français,fr
3,"Il tuo motore di ricerca privato e anonimo Swisscows",Italiano,it
4,"Su buscador privado y anónimo Swisscows",Español,es
5,"O teu motor de busca privado e anónimo Swisscows",Português,pt
6,"Az Ön privát és névtelen keresőmotorja, Swisscows",Magyar,hu
7,"Jūsu privātā un anonīma meklētājprogramma Swisscows",Latviešu,lv
8,"Uw privé en anonieme zoekmachine Swisscows",Nederlands,nl
9,"Swisscows - Ваша приватная и анонимная поисковая система",Русский,ru
10,"Swisscows - Ваша приватна та анонімна пошукова система",Українська,uk
