test_case,expected_content,language
1,"ImpressumSwisscows AGBucherstrasse 29322 Egnach, Schweiz +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comUnternehmensangabenRechtsform AktiengesellschaftVerwaltungsrat Andreas Wiebe (CEO) VerwaltungsratspräsidentHandelsregisteramt Kanton ThurgauBezirksgericht Stadt FrauenfeldHandelsregister CHE-220.068.700",Deutsch
2,"L’entrepriseSwisscows AGBucherstrasse 29322 Egnach, Suisse +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comInformations sur la sociétéForme juridique Stock CorporationConseil exécutif Andreas Wiebe (CEO) Président du ConseilOffice du registre du commerce canton de ThurgovieTribunal de district ville de FrauenfeldRegistre du commerce CHE-220.068.700",Français
3,"Informazione legaleSwisscows AGBucherstrasse 29322 Egnach, Svizzera +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comInformazioni sull'aziendaForma legale Stock CorporationComitato direttivo Andreas Wiebe, amministratore delegato (CEO)Ufficio del registro di commercio Canton TurgoviaTribunale distrettuale Città di FrauenfeldRegistro delle imprese CHE-220.068.700",Italiano
4,"Avíso legalSwisscows AGBucherstrasse 29322 Egnach, Suiza +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comInformación de la empresaForma legal Sociedad anónimaConsejo de administración Andreas Wiebe (CEO), presidente del consejo de administraciónOficina de registro comercial Cantón de ThurgauTribunal de Distrito Ciudad de FrauenfeldRegistro comercial CHE-220.068.700",Español
5,"ImpressumSwisscows AGBucherstrasse 29322 Egnach, Switzerland +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comCompany informationLegal Form Stock CorporationExecutive Board Andreas Wiebe (CEO) Chairman of the BoardCommercial Registry Office Canton of ThurgauDistrict Court City of FrauenfeldCommercial Register CHE-220.068.700",Nederlands
6,"ImprintSwisscows AGBucherstrasse 29322 Egnach, Switzerland +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comCompany informationLegal Form Stock CorporationExecutive Board Andreas Wiebe (CEO) Chairman of the BoardCommercial Registry Office Canton of ThurgauDistrict Court City of FrauenfeldCommercial Register CHE-220.068.700",Português
7,"ImpresszumSwisscows AGBucherstrasse 29322 Egnach, Switzerland +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comCompany informationLegal Form Stock CorporationExecutive Board Andreas Wiebe (CEO) Chairman of the BoardCommercial Registry Office Canton of ThurgauDistrict Court City of FrauenfeldCommercial Register CHE-220.068.700",Magyar
8,"Izlaides ziņasSwisscows AGBucherstrasse 29322 Egnach, Šveice +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comCompany informationLegal Form Stock CorporationExecutive Board Andreas Wiebe (CEO) Chairman of the BoardCommercial Registry Office Canton of ThurgauDistrict Court City of FrauenfeldCommercial Register CHE-220.068.700",Latviešu
9,"ИмпрессумSwisscows AGBucherstrasse 29322 Egnach, Швейцария +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comИнформация о компанииФорма собственности Акционерное обществоСовет директоров Андреас Вибе, генеральный директорРеестр налогоплательщиков кантон ThurgauОкружной суд город FrauenfeldРегистрационный номер CHE-220.068.700",Русский
10,"ІмпрессумSwisscows AGBucherstrasse 29322 Egnach, Швейцарія +41 (0) 716 667 931 +41 (0) 716 667 930 info@swisscows.comІнформація про компаніюФорма власності Акціонерне товариствоРада директорів Андреас Вібе, генеральний директорРеєстр платників податків кантон ThurgauОкружний суд місто FrauenfeldРеєстраційний номер CHE-220.068.700",Українська
