test_case,expected_content,language
1,"Datensichere SuchmaschineSwisscows ist die datensichere Suchmaschine und sorgt für optimale Internetinhalte. Wir betreiben eine Suchmaschine ohne Datenspeicherung und respektieren somit deine Privatsphäre! Wie wir das erreichen? Indem wir keine Daten sammeln, speichern oder verfolgen - du bist bei Swisscows.com zu 100% anonym! Wir sind eine familienfreundliche Suchmaschine, keine Datenspeicherung! Media Education, also die Medienerziehung, wird bei uns gross geschrieben.Deine Privatsphäre ist uns wichtig. Aus diesem Grund haben wir eigene Server und arbeiten nicht mit einer Cloud oder gar Drittanbietern. Unser sicheres Datacenter liegt in den Schweizer Alpen und ist geographisch ausserhalb von EU und der USA positioniert.Datensichere Suchmaschine: Swisscows ist im sichersten Rechenzentrum aufbewahrtAlle Anlagen, die wir für unsere datensichere Suchmaschine benötigen, verfügen über autarke Versorgungen in allen Bereichen sowie ein von der Aussenwelt unabhängiges Klima. Die Baukonstruktion ist resistent gegen jede militärische sowie zivile Bedrohung. Der Personenzutritt erfolgt sehr restriktiv. Diverse Bereiche sind nur für ausgewählte Mitarbeiter zugänglich. Der 24-Stunden Betrieb wird von einem doppelt geführten OperationCenter konstant überwacht. Sämtliche Betriebsprozesse unterliegen dem 4-Augen Prinzip.Das Rechenzentrum erreicht dank Zertifizierung auf TIER IV-Level den höchsten Verfügbarkeitsstandard von 99,998 %.Mehrstufige Schutzmassnahmen im Bereich Netzwerk und IT reduzieren jedes erdenkliche Risiko auf das absolute Minimum. Alle Standorte verfügen über konstante Video- und Brandüberwachung. Zwei Anlagen sind durch eine dedizierte Glasfaserverbindung miteinander verbunden.Die Stromversorgung erfolgt grundsätzlich mit Naturstrom, direkt ab Unterwerk Gais über zwei Mittelspannungsleitungen. Jedes Rack wird über zwei getrennte Stromkreise von den eigenen Trafoanlagen versorgt. Somit ist jederzeit eine vollumfängliche Energieversorgung gesichert – selbst dann, wenn wichtige Anlagenteile in einem der beiden Strompfade versagen sollten. USV- und Netzersatzanlagen überbrücken mögliche Stromausfälle.Zusätzlich trägt die hauseigene Photovoltaikanlage zur Stromerzeugung bei. Über eine flächendeckende Photovoltaik-Anlage wird in Eigenregie jährlich 230'000 kWh Strom für die Nutzung im Rechenzentrum erzeugt.
",Deutsch
2,"Le moteur de recherche qui sécurise vos données Swisscows est un moteur de recherche sécurisé pour des contenus Internet optimaux qui ne stocke aucune donnée personnelle et respecte ainsi votre vie privée! Comment nous y parvenons? En ne collectant, ne stockant et ne traçant aucune donnée - vous êtes 100% anonyme sur Swisscows.com! Nous proposons un moteur de recherche adapté pour les familles et nous ne stockons pas vos données! L'éducation aux médias, Media Education, est d'une importance capitale pour nous.Votre sphère privée nous tient à cœur.C'est pourquoi nous avons nos propres serveurs et ne travaillons ni avec un cloud ni avec des fournisseurs tiers. Notre Datacenter sécurisé se trouve dans les Alpes suisses et est géographiquement positionné hors UE et USA.Le moteur de recherche qui sécurise vos données: Swisscows est stocké dans un centre de données sûrToutes les installations nécessaires pour notre moteur de recherche disposent d'un approvisionnement indépendant dans toutes les zones qui sont isolées du monde extérieur. L’installation a été conçue pour résister à toute menace, militaire ou civile. Le contrôle d’accès est très restrictif. Diverses zones ne sont accessibles qu’à certains collaborateurs. Le fonctionnement 24 heures sur 24 est constamment surveillé par un SOC doublement piloté. Tous les processus opérationnels sont soumis au principe du double contrôle.Grâce à la certification au niveau TIER IV, notre centre de données atteint le standard de disponibilité le plus élevé de 99,998%.Les mesures de protection à plusieurs niveaux, dans le domaine des réseaux et des technologies de l'information, réduisent tous les risques imaginables au minimum absolu. Tous les sites disposent en permanence d’une surveillance vidéo et d’une surveillance incendie. Deux installations sont reliées par une liaison via fibre optique dédiée.L’alimentation électrique est en principe assurée par du courant vert, directement à partir de la centrale de Gais via deux lignes à moyenne tension. Chaque rack est approvisionné par sa propre installation de transformateurs via deux circuits électriques séparés. Ainsi, un approvisionnement en énergie complet est assuré à tout moment, même si des parties essentielles au fonctionnement de l’un des deux circuits électriques venaient à tomber en panne. Les systèmes d’alimentation sans interruption et les installations auxiliaires permettent de faire face à d'éventuelles pannes de courant.Notre propre installation photovoltaïque contribue en outre à la production d’électricité.Cette installation photovoltaïque couvrant toute la surface permet de produire en interne 230'000 kWh d’électricité chaque année pour alimenter le centre de données.
",Français
3,"Motore di ricerca sicuro per i dati Swisscows ha il motore di ricerca più sicuro per i dati e garantisce contenuti internet ottimali. Gestiamo un motore di ricerca che non memorizza i dati e rispetta così la tua privacy! Come ci riusciamo? Non raccogliendo, salvando o tracciando alcun dato: presso Swisscows.com sei anonimo al 100%! Siamo un motore di ricerca a misura di famiglia, non un archivio di dati! Media Education, cioè l’educazione ai media, da noi si scrive con la lettera maiuscola.La tua privacy è importante per noi. Per questo motivo abbiamo i nostri server e non lavoriamo con un cloud e tanto meno con provider di terze parti. Il nostro data center sicuro si trova nelle Alpi Svizzere ed è posizionato in termini geografici al di fuori dell’UE e degli USA.Motore di ricerca sicuro per i dati: Swisscows è custodita nel centro di elaborazione dati più sicuroTutti gli impianti necessari per i nostri motori di ricerca, sicuri per i dati, dispongono di forniture autosufficienti in tutte le aree nonché di un clima indipendente dal mondo esterno. La costruzione edilizia è resistente a ogni minaccia militare nonché civile. L’accesso di persone avviene in maniera molto restrittiva. Diversi settori sono accessibili solamente da personale selezionato. L’esercizio 24 ore su 24 viene costantemente sorvegliato da un OperationCenter gestito in maniera doppia. Tutti i processi operativi sottostanno al principio dei 4 occhi.Grazie alla certificazione TIER livello IV, il centro di elaborazione dati raggiunge, con il 99,998 %, il massimo standard di disponibilità.Le misure di protezione a più livelli nel settore rete e informatica riducono al minimo assoluto ogni rischio immaginabile. Tutti i luoghi dispongono di una sorveglianza video e antincendio costante. Due impianti sono collegati tra loro mediante una connessione in fibra ottica dedicata.L’alimentazione di corrente avviene fondamentalmente con corrente naturale, direttamente dalla sottostazione di Gais, mediante due linee di media tensione. Ogni rack viene alimentato dalle proprie cabine secondarie mediante due circuiti elettrici separati. In questo modo, si assicura un approvvigionamento energetico costante, anche se si dovessero guastare dei componenti importanti dell’impianto in uno dei due circuiti. I gruppi di continuità e gli impianti di rete di emergenza sopperiscono a possibili interruzioni di corrente.Inoltre, un impianto fotovoltaico proprio contribuisce alla produzione di energia elettrica. Grazie all’impianto fotovoltaico esteso a tutta la zona vengono generati autonomamente 230.000 kWh di elettricità all'anno da utilizzare nel centro di elaborazione dati.
",Italiano
4,"El motor de búsqueda que protege los datosSwisscows es el motor de búsqueda que protege los datos y garantiza un contenido óptimo en Internet. Trabajamos con un motor de búsqueda sin almacenamiento de datos, por lo que respetamos su privacidad. ¿Cómo lo hacemos? Al no recopilar, almacenar o rastrear ningún dato - ¡eres 100% anónimo en Swisscows.com! Somos un motor de búsqueda pensado para toda la familia, ¡sin almacenamiento de datos! Educación mediática, la educación mediática es muy importante para nosotros.Para nosotros, tu privacidad es importante. Por esta razón, tenemos nuestro propio servidor y no trabajamos con una nube o incluso con terceros proveedores. Nuestro centro de datos seguro se encuentra en los Alpes suizos y está situado geográficamente fuera de la UE y de los Estados Unidos.El motor de búsqueda que protege los datos: Swisscows se considera el centro de datos más seguroTodas las instalaciones que necesitamos para nuestro motor de búsqueda que garantiza la seguridad de los datos tienen suministros independientes en todas las áreas, así como un clima independiente del mundo exterior. La construcción es resistente a cualquier amenaza tanto militar como civil. El acceso de las personas es muy restrictivo. Varias áreas son accesibles solo para empleados seleccionados. Un centro de operaciones de doble guía monitoriza constantemente el funcionamiento las 24 horas. Todos los procesos operativos están sujetos al principio de cuatro ojos.El centro de datos alcanza el estándar de disponibilidad más alto, el 99,998 %, gracias a la certificación de nivel TIER IV.Las medidas de protección de varios niveles en el ámbito de la red y la informática reducen al mínimo todos los riesgos posibles. Todas las instalaciones cuentan con una monitorización constante por vídeo y de incendio. Dos instalaciones están conectadas por un enlace de fibra dedicado.El suministro de energía se realiza básicamente con electricidad natural, directamente desde la subestación de gas a través de dos líneas de media tensión. Cada bastidor se alimenta a través de dos circuitos separados de sus propios sistemas de transformadores. Lo que significa que se garantiza un suministro de energía completo en todo momento, incluso en caso de que fallaran componentes importantes de la planta en una de las dos vías de alimentación. Los sistemas SAI (Sistemas de Alimentación Interrumpida) y de apoyo a la red eléctrica evitan los posibles cortes de electricidad.Además, la instalación fotovoltaica interna contribuye a la generación de electricidad. Un sistema fotovoltaico en toda la zona se utiliza para generar 230.000 kWh de electricidad al año para su uso en el centro de datos.
",Español
5,"Veilige zoekmachine Swisscows is de veilige zoekmachine en zorgt voor de optimale inhoud op het internet. Wij gebruik een zoekmachine zonder gegevensopslag en hebben dus respect voor jouw privacy! Hoe we dat bereiken? Door geen gegevens te verzamelen, op te slaan of te volgen: bij Swisscows.com ben ij 100% anoniem! Wij zijn een  gezinsvriendelijke zoekmachine zonder gegevensopslag! Media Education, mediaopvoeding dus, is bij ons zeer belangrijk.Wij vinden jouw privacy belangrijk. Daarom hebben wij een eigen servers en werken we niet met een cloud of zelfs met derde aanbieders. Ons veilige datacenter ligt in de Zwitserse Alpen en is geografisch buiten de EU en de VS gepositioneerd.Veilige zoekmachine: Swisscows wordt in het veiligste datacenter bewaardAlle installaties die wij voor onze veilige zoekmachine nodig hebben, beschikken over autarke voorzieningen op alle fronten en over een klimaat dat niet van de buitenwereld afhankelijk is. De constructie is resistent tegen alle militaire en civiele bedreigingen. De toegang door personen vindt zeer restrictief plaats. Diverse gedeeltes zijn alleen voor bepaalde medewerkers toegankelijk. Het 24-uursbedrijf wordt continu door een OperationCenter met twee leiders bewaakt. Alle bedrijfsprocessen zijn onderhevig aan het 4-ogen-principe.Het datacenter behaalt dankzij de certificering op TIER IV-niveau de hoogste beschikbaarheidsstandaard van 99,998%.Veiligheidsmaatregelen op meerdere niveaus op de gebieden Netwerk en IT reduceren elk denkbaar risico tot een absoluut minimum. Alle locaties beschikken over constante video- en brandbewaking. Twee installaties zijn door een doelgerichte glasvezelverbinding met elkaar verbonden.De stroomvoorziening vindt in principe plaats met natuurstroom, direct vanaf het station Gais via twee middenspanningsleidingen. Elke rack wordt via twee gescheiden stroomcircuits door de eigen transformatoren van voeding voorzien. Daarmee wordt dus een omvattende energievoorziening gewaarborgd, zelfs als belangrijke onderdelen van de installatie in één van beide stroompaden defect raken. USV- en noodstroomvoorzieningen overbruggen een mogelijke stroomuitval.Daarnaast draagt de eigen fotovoltaïsche installatie bij aan de opwekking van stroom. Via een grote fotovoltaïsche installatie wordt onder eigen beheer jaarlijks 230.000 kWh stroom voor gebruik in het datacentrum opgewekt.
",Nederlands
6,"Data secure search engineSwisscows is the data secure search engine and provides optimal internet content. We operate a search engine without data storage and thus respect your privacy! How do we achieve that? By not collecting, storing or tracking any data - you are 100% anonymous at Swisscows.com! We are a family friendly search engine without data storage!Media Education is very important to us.Your privacy is important to us. For this reason, we have our own server and do not work with a cloud or even third-party providers. Our secure data center is located in the Swiss Alps and is geographically positioned outside the EU and the USA.Data secure search engine: Swisscows is kept in the most secure data centerAll the systems and facilities we need for our data-secure search engine have self-sufficient supplies in all areas as well as a climate that is independent of the outside world. The construction is resistant to any military as well as civil threat. Access to the facility is very restrictive. Various areas are only accessible to selected employees. The 24-hour operation is constantly monitored by a double-managed Operation Center. All operational processes are subject to the 4-eyes principle.Thanks to certification at TIER IV level, the data center achieves the highest availability standard of 99.998%.Multi-level protective measures in the network and IT areas reduce every conceivable risk to an absolute minimum. All sites have constant video and fire monitoring. Two facilities are connected by a dedicated fiber optic link.Power is always supplied by natural current, directly from the Gais substation via two medium-voltage lines. Each rack is supplied by its own transformer via two separate circuits. This always ensures a full power supply - even if important system components should fail in one of the two power paths. UPS and backup power systems bridge possible power failures. In addition, the in-house photovoltaic system contributes to power generation. An area-wide photovoltaic system generates 230,000 kWh of electricity annually for use in the data center.
",Português
7,"Az adatbiztos keresőmotorA Swisscows egy adatbiztonságos keresőmotor, és optimális internetes tartalmat nyújt. Adattárolás nélküli keresőmotort üzemeltetünk, így tiszteletben tartjuk a privát szféráját! Hogyan érhetjük ezt el? Azáltal, hogy nem gyűjtünk, tárolunk vagy követünk semmilyen adatot - a Swisscows.com 100%-ban anonim! Családbarát keresőmotor vagyunk, nincs adattárolás! Media Education, vagyis médiaoktatás, nálunk prioritás.Az Ön privát szférája fontos számunkra. Ezért saját szervereink vannak, és nem dolgozunk felhővel vagy akár harmadik fél szolgáltatóival. Biztonságos adatközpontunk a svájci Alpokban található, és földrajzilag az EU-n és az USA-n kívül helyezkedik el.Adatbiztos keresőmotor: A Swisscows a legbiztonságosabb adatközpontban található.Az adatbiztonságos keresőmotorunkhoz szükséges összes létesítmény minden területen önellátó, valamint a külvilágtól független klímával rendelkezik. A szerkezet ellenáll minden katonai és polgári fenyegetésnek. A hozzáférés az emberek számára erősen korlátozott. Különböző területekhez csak kijelölt alkalmazottak férhetnek hozzá. A 24 órás működést egy kettős irányítású OperationCenter folyamatosan felügyeli. Minden működési folyamatra vonatkozik a 4 szem elv.Az adatközpont a TIER IV szintű tanúsításnak köszönhetően a legmagasabb, 99,998%-os rendelkezésre állási szinten működik.A többszintű védelmi intézkedések a hálózat és az informatika területén minden lehetséges kockázatot minimálisra csökkentenek. Minden létesítményben folyamatos videó- és tűzvédelmi felügyelet van. A két létesítményt dedikált optikai szálas összeköttetés kapcsolja össze.Az áramellátást alapvetően természetes villamos energia biztosítja, közvetlenül a Gais alállomásról, két középfeszültségű vezetéken keresztül. Minden tartót két külön áramkörön keresztül saját transzformátorrendszeréről látnak el. Ez azt jelenti, hogy a teljes energiaellátás mindenkor biztosított – még akkor is, ha a két energiaellátási útvonal egyikén a fontos üzemi alkatrészek meghibásodnak. A szünetmentes tápegység és a hálózati tartalékrendszerek áthidalják az esetleges áramkimaradásokat.Ezenkívül a házon belüli fotovoltaikus rendszer is hozzájárul a villamosenergia-termeléshez. Az egész területre kiterjedő fotovoltaikus rendszer évente 230 000 kWh villamos energiát termel az adatközpontban történő felhasználásra.
",Magyar
8,"Datiem droša meklētājprogramma “Swisscows” ir datiem droša meklētājprogramma un tā nodrošina optimālu interneta saturu. Mēs uzturam meklētājprogrammu bez datu saglabāšanas un tādējādi respektējam tavu privātumu! Kā mēs to panākam? Mēs neapkopojam, nesaglabājam un neizsekojam nekādus datus – ar Swisscows.com tu vari palikt 100% anonīms! Mūsu meklētājprogramma ir ģimenei draudzīga, netiek saglabāti nekādi dati! “Media Education”, t. i. plašsaziņas līdzekļu lietotprasme, pie mums tiek augstu vērtēta.Tavs privātums mums ir svarīgs. Tādēļ mums ir pašiem savs serveri, un mēs nesadarbojamies ar mākoņpakalpojumu sniedzējiem un trešajām pusēm. Mūsu drošais datu centrs ir izveidots Šveices Alpos un līdz ar to ģeogrāfiski atrodas ārpus ES un ASV.Datiem droša meklētājprogramma: “Swisscows” programma tiek uzglabāta drošākajā datu centrāVisām iekārtām, kas ir nepieciešamas mūsu datu drošajai meklētājprogrammai, ir pašpietiekama apgāde visās jomās, kā arī klimats, kas ir neatkarīgs no ārpasaules. Būvkonstrukcija ir droša pret jebkāda veida militāru vai civilu apdraudējumu. Cilvēkiem ir ļoti ierobežota piekļuve. Dažādas zonas ir pieejamas tikai noteiktiem darbiniekiem. 24 stundu darbību pastāvīgi uzrauga Operāciju centrs ar divu līmeņu vadību. Uz visiem darbības procesiem attiecas “4 acu” princips.Pateicoties TIER IV. pakāpes sertifikācijai, datu centram ir augstākais pieejamības standarts: 99,998 %.Vairāku līmeņu aizsardzības pasākumi tīkla un IT jomā līdz minimumam samazina jebkurus iespējamos riskus. Visās atrašanās vietās ir nodrošināta nepārtraukta video novērošana un ugunsbīstamības uzraudzība. Divas iekārtas ir savstarpēji savienotas ar īpašu optisko šķiedru savienojumu.Energoapgāde pārsvarā notiek ar dabisko strāvu, tieši no Gaisa apakšstacijas pa divām vidējā sprieguma līnijām. Katra iekārtu novietne tiek apgādāta ar divām atsevišķām elektriskajām ķēdēm no savām transformatoru iekārtām. Tas nodrošina pilnīgu energoapgādi visu laiku – pat tad, ja kādā no abiem strāvas apgādes ceļiem nedarbojas svarīgas iekārtas daļas. UPS un tīkla rezerves sistēmas novērš iespējamus strāvas padeves traucējumus.Turklāt elektroenerģijas ražošanu nodrošina arī iekšējā fotoelementu iekārta. Plašā fotoelementu sistēma gadā saražo 230 000 kWh elektroenerģijas datu centra vajadzībām.
",Latviešu
9,"Безопасная поисковая система Swisscows — это поисковая система с защитой данных, обеспечивающая оптимальный интернет-контент. Наша поисковая система не хранит ваши данные, потому что мы уважаем вашу конфиденциальность! Как мы этого добиваемся? Без сбора, хранения и отслеживая персональных данных, вы на 100 % анонимны на Swisscows.com! Мы семейная поисковая система без хранения данных! Медиаобразование очень важно для нас.Ваша конфиденциальность важна для нас. По этой причине у нас есть собственные сервера и мы не работаем с облачными хранилищами. Наш защищенный дата-центр расположен в Швейцарских Альпах и географически расположен за пределами ЕС и США.Поисковая система с защитой данных: Swisscows хранится в самом безопасном дата-центреВсе системы и оборудование, которые нужны для нашей поисковой системы с защитой данных, являются автономными. Также преимуществом является климат, который не зависит от внешнего мира. Конструкция устойчива к любым военным и гражданским угрозам. Персональный доступ очень ограничен. Различные области доступны только для избранных сотрудников. 24-часовая работа постоянно контролируется с помощью двойного операционного центра. Все операционные процессы подчинены принципу 4-х глаз.Благодаря сертификации на уровне TIER IV центр обработки данных достигает наивысшего стандарта доступности 99,998%.Многоуровневые защитные меры в сети и ИТ-областях сводят все возможные риски к абсолютному минимуму. На всех объектах ведется постоянный видео- и пожарный мониторинг. Оборудование соединено между собой выделенным оптоволоконным каналом.Электроэнергия всегда подается естественным током, напрямую от подстанции «Гайс» по двум линиям среднего напряжения. Каждая стойка питается от собственного трансформатора по двум отдельным цепям. Это всегда обеспечивает полное электропитание, даже если важные компоненты системы выходят из строя в одном из двух путей питания. ИБП и системы резервного питания устраняют возможные перебои в подаче электроэнергии. Кроме того, собственная фотоэлектрическая система способствует выработке электроэнергии. Территориальная фотоэлектрическая система ежегодно вырабатывает 230 000 кВтч электроэнергии для использования в центре обработки данных.
",Русский
10,"Безпечна пошукова системаSwisscows - це пошукова система із захистом даних, що забезпечує оптимальний інтернет-контент. Наша пошукова система не зберігає ваших даних, тому що ми поважаємо вашу конфіденційність! Як ми цього досягаємо? Без збору, зберігання та відстеження персональних даних, ви на 100 % анонімні на Swisscows.com! Ми сімейна пошукова система без зберігання даних! Медіаосвіта дуже важлива для нас.Ваша конфіденційність є важливою для нас. З цієї причини ми маємо власні сервери і ми не працюємо з хмарними сховищами. Наш захищений дата-центр розташований у Швейцарських Альпах та географічно розташований за межами ЄС та США.Пошукова система із захистом даних: Swisscows зберігається в безпечному дата-центріУсі системи та обладнання, що потрібні для нашої пошукової системи із захистом даних, є автономними. Також перевагою є клімат, який не залежить від зовнішнього світу. Конструкція стійка до будь-яких військових та цивільних загроз. Персональний доступ обмежений. Різні області доступні лише для обраних співробітників. 24-годинна робота постійно контролюється за допомогою подвійного операційного центру. Усі операційні процеси підпорядковані принципу 4-х очей.Завдяки сертифікації на рівні TIER IV центр обробки даних досягає найвищого стандарту доступності 99,998%.Багаторівневі захисні заходи в мережі та ІТ-областях зводять усі можливі ризики до абсолютного мінімуму. На всіх об'єктах ведеться постійний відео- та пожежний моніторинг. Обладнання з'єднано між собою виділеним оптоволоконним каналом.Живлення завжди здійснюється природним струмом, безпосередньо від підстанції «Гайс» по двох лініях середньої напруги. Кожна стійка живиться від власного трансформатора через дві окремі схеми. Це завжди забезпечує повне живлення - навіть якщо важливі компоненти системи виходять з ладу в одному з двох шляхів живлення. ДБЖ і системи резервного живлення перекривають можливі збої в електроживленні. Крім того, власна фотоелектрична система сприяє виробленню електроенергії. Фотоелектрична система в масштабах області виробляє 230 000 кВт-год електроенергії щорічно для використання в центрі обробки даних.
",Українська
