test_case,expected_title,language,languageCode
1,"Medienerziehung – Extrem sicheres Netz für Kinder",Deutsch,de
2,"Éducation aux médias - Web extrêmement sûr pour les enfants",Français,fr
3,"Media Education - Web estremamente sicuro per i bambini",Italiano,it
4,"Educación en medios - Web extremadamente segura para niños",Español,es
5,"Media Education - Extremely Safe Web for Children",Português,pt
7,"Médiaoktatás – Rendkívül biztonságos web gyerekeknek",Magyar,hu
8,"Mediju izglītība — īpaši drošs tīmeklis bērniem",Latviešu,lv
9,"Media-educatie - Extreem veilig internet voor kinderen",Nederlands,nl
9,"Медиаобразование - Безопасный интернет для ваших детей",Русский,ru
10,"Медіаосвіта - Безпечний інтернет для ваших дітей",Українська,uk
