test_case,expected_title,language
1,"Deine private und anonyme Suchmaschine Swisscows",Deutsch
2,"Votre moteur de recherche privé et anonyme Swisscows",Italiano
3,"Il tuo motore di ricerca privato e anonimo Swisscows",Français
4,"Su buscador privado y anónimo Swisscows",Español
5,"O teu motor de busca privado e anónimo Swisscows",Português
7,"Az Ön privát és névtelen keresőmotorja, Swisscows",Magyar
8,"Jūsu privātā un anonīma meklētājprogramma Swisscows",Latviešu
9,"Uw privé en anonieme zoekmachine Swisscows",Nederlands
9,"Swisscows - Ваша приватная и анонимная поисковая система",Русский
10,"Swisscows - Ваша приватна та анонімна пошукова система",Українська
