test_case,expected_content,language
1,"KontaktGerne können Sie uns Ihre Meinung und Vorschläge mitteilenIch bin damit einverstanden, dass meine Daten zum Zwecke der Beantwortung, Bearbeitung, Durchführung und Abwicklung der Kontaktaufnahme verarbeitet und genutzt werden. Die Daten werden nur solange gespeichert und verarbeitet soweit es die Bearbeitung der Nachricht erfordert. Die Daten werden nicht an Dritte weitergegeben. Ich habe die Hinweise zum Datenschutz gelesen und erkläre mich hiermit einverstanden.Senden
",Deutsch
2,"ContactN'hésitez pas à nous faire part de vos avis et suggestionsJ'accepte que mes données soient traitées et utilisées dans le but de répondre, traiter, réaliser et traiter l'établissement de contact. Les données ne seront stockées et traitées qu'aussi longtemps que le traitement du message l'exigera. Les données ne seront pas transmises à des tiers. Je suis d'accord avec la politique de confidentialité.Envoyer",Français
3,"ContattaciSentiti libero di condividere la tua opinione e i tuoi suggerimenti con noiAcconsento che i miei dati possano essere trattati e utilizzati per rispondere, elaborare, eseguire e gestire l'instaurazione del contatto. I dati saranno memorizzati ed elaborati solo fino a quando l'elaborazione del messaggio lo richiederà. I dati non saranno ceduti a terzi. Protezione dati.Inviare",Italiano
4,"ContáctenosNo dude en compartir su opinión y sugerencias con nosotrosAcepto que mis datos puedan ser procesados y utilizados con el fin de responder, procesar, llevar a cabo y manejar el establecimiento de contacto. Los datos sólo se almacenarán y procesarán durante el tiempo que el procesamiento del mensaje lo requiera. Los datos no serán cedidos a terceros. Protección de datos.Enviar",Español
5,"Ons contacterenDeel gerust uw mening en suggesties met onsIk ga ermee akkoord dat mijn gegevens worden verwerkt en gebruikt voor het beantwoorden, verwerken, uitvoeren en afhandelen van het contact. De gegevens worden alleen bewaard en verwerkt zolang de verwerking van het bericht nodig is. De gegevens worden niet doorgegeven aan derden. Ik heb de informatie over het privacybeleid gelezen en geaccepteerd.Stuur",Nederlands
6,"ContactoÉ bem-vindo a partilhar connosco as suas opiniões e sugestões.Concordo que os meus dados sejam processados e utilizados para efeitos de resposta, processamento, realização e tratamento do contacto. Os dados só serão armazenados e processados enquanto for necessário para o processamento da mensagem. Os dados não serão transmitidos a terceiros. Li as notas referentes à Proteção de dados e concordo com as mesmas.Enviar",Português
7,"KontaktNyugodtan ossza meg velünk véleményét és javaslataitHozzájárulok ahhoz, hogy adataimat válaszadás, feldolgozás, kapcsolatfelvétel végrehajtása és lebonyolítása céljából kezeljük és használjuk fel. Az adatokat csak addig tároljuk és dolgozzuk fel, amíg az az üzenet feldolgozásához szükséges. Az adatokat harmadik féllel nem osztjuk meg. Elolvastam az Adatvédelmi irányelvekben található információkat, és elfogadom.Elküld",Magyar
8,"SazinātiesJūtieties brīvi dalīties ar mums savā viedoklī un ieteikumosEs piekrītu, ka mani dati tiks apstrādāti un izmantoti, lai atbildētu, apstrādātu, īstenotu un apstrādātu kontakta nodibināšanu. Dati tiks glabāti un apstrādāti tikai tik ilgi, cik tas ir nepieciešams ziņojuma apstrādei. Dati netiks kopīgoti ar trešajām personām. Esmu izlasījis informāciju par konfidencialitātes politiku un piekrītu.Sūtīt
",Latviešu
9,"Связаться с намиНе стесняйтесь поделиться своим мнением и предложениями с намиЯ согласен с тем, что мои данные будут обрабатываться и использоваться только для ответа, обработки и выполнения запроса. Данные будут храниться и обрабатываться только до тех пор, пока этого требует обработка сообщения. Данные не будут переданы третьим лицам. Я согласен с политикой конфиденциальности.Отправить",Русский
10,"Зв'яжіться з намиНе соромтеся поділитися з нами своєю думкою та пропозиціямиЯ згоден з тим, що мої дані будуть оброблятися і використовуватися тільки для відповіді, обробки і виконання запиту. Дані будуть зберігатися і оброблятися тільки до тих пір, поки цього вимагає обробка повідомлення. Дані не будуть передані третім особам. Я згоден з політикою конфіденційності.Надіслати
",Українська
